id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1111710000001,"City of Coleman, Precinct 1",0,0,0,0
1115378001001,"City of Midland, Ward 1, Precinct 1",130,30,205,0
1115378001002,"City of Midland, Ward 1, Precinct 2",107,18,146,0
1115378002003,"City of Midland, Ward 2, Precinct 3",154,33,171,0
1115378002004,"City of Midland, Ward 2, Precinct 4",221,24,255,0
1115378003005,"City of Midland, Ward 3, Precinct 5",141,13,230,0
1115378003006,"City of Midland, Ward 3, Precinct 6",240,32,244,0
1115378004007,"City of Midland, Ward 4, Precinct 7",204,22,303,0
1115378004008,"City of Midland, Ward 4, Precinct 8",226,23,280,0
1115378005009,"City of Midland, Ward 5, Precinct 9",216,29,272,0
1115378005010,"City of Midland, Ward 5, Precinct 10",207,38,263,0
1112483000001,"Edenville Township, Precinct 1",0,0,0,0
1113182000001,"Geneva Township, Precinct 1",0,0,0,0
1113486000001,"Greendale Township, Precinct 1",0,0,0,0
1113898000001,"Homer Township, Precinct 1",0,0,0,0
1113898000002,"Homer Township, Precinct 2",0,0,0,0
1113898000003,"Homer Township, Precinct 3",0,0,0,0
1113916000001,"Hope Township, Precinct 1",0,0,0,0
1114062000001,"Ingersoll Township, Precinct 1",0,0,0,0
1114062000002,"Ingersoll Township, Precinct 2",0,0,0,0
1114156000001,"Jasper Township, Precinct 1",0,0,0,0
1114176000001,"Jerome Township, Precinct 1",79,14,139,0
1114176000002,"Jerome Township, Precinct 2",41,14,116,0
1114616000001,"Larkin Township, Precinct 1",81,7,79,1
1114616000002,"Larkin Township, Precinct 2",89,13,120,0
1114664000001,"Lee Township, Precinct 1",0,0,0,0
1114664000002,"Lee Township, Precinct 2",0,0,0,0
1114768000001,"Lincoln Township, Precinct 1",0,0,0,0
1115380000001,"Midland Township, Precinct 1",0,0,0,0
1115432000001,"Mills Township, Precinct 1",0,0,0,0
1115594000001,"Mount Haley Township, Precinct 1",0,0,0,0
1116574000001,"Porter Township, Precinct 1",0,0,0,0
1118402000001,"Warren Township, Precinct 1",0,0,0,0
