id,name,Kristen McDonald Rivet,Write-in
1115378001001,"City of Midland, Ward 1, Precinct 1",353,0
1115378001002,"City of Midland, Ward 1, Precinct 2",255,0
1115378002003,"City of Midland, Ward 2, Precinct 3",341,0
1115378002004,"City of Midland, Ward 2, Precinct 4",481,0
1115378003005,"City of Midland, Ward 3, Precinct 5",367,0
1115378003006,"City of Midland, Ward 3, Precinct 6",503,0
1115378004007,"City of Midland, Ward 4, Precinct 7",502,0
1115378004008,"City of Midland, Ward 4, Precinct 8",508,0
1115378005009,"City of Midland, Ward 5, Precinct 9",493,0
1115378005010,"City of Midland, Ward 5, Precinct 10",489,0
1113898000001,"Homer Township, Precinct 1",0,0
1113898000002,"Homer Township, Precinct 2",0,0
1113898000003,"Homer Township, Precinct 3",0,0
1113916000001,"Hope Township, Precinct 1",0,0
1114062000001,"Ingersoll Township, Precinct 1",0,0
1114062000002,"Ingersoll Township, Precinct 2",0,0
1114176000001,"Jerome Township, Precinct 1",219,0
1114176000002,"Jerome Township, Precinct 2",158,0
1114616000001,"Larkin Township, Precinct 1",158,1
1114616000002,"Larkin Township, Precinct 2",216,1
1114664000001,"Lee Township, Precinct 1",0,0
1114664000002,"Lee Township, Precinct 2",0,0
1114768000001,"Lincoln Township, Precinct 1",0,0
1115380000001,"Midland Township, Precinct 1",0,0
1115432000001,"Mills Township, Precinct 1",0,0
1115594000001,"Mount Haley Township, Precinct 1",0,0
1116574000001,"Porter Township, Precinct 1",0,0
