id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",0,0,0,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",1,0,0,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",1,0,0,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",0,1,0,0
211058000001,"City of Bridgman, Precinct 1",12,1,0,0
211140000001,"City of Buchanan, Precinct 1",5,1,0,0
211140000002,"City of Buchanan, Precinct 2",0,2,0,0
211732000001,"City of Coloma, Precinct 1",0,0,0,0
215722000001,"City of New Buffalo, Precinct 1",5,2,0,0
215776001001,"City of Niles, Ward 1, Precinct 1",10,8,0,0
215776002002,"City of Niles, Ward 2, Precinct 2",20,2,0,0
215776003003,"City of Niles, Ward 3, Precinct 3",7,1,0,0
215776004004,"City of Niles, Ward 4, Precinct 4",34,1,0,0
217096000001,"City of St. Joseph, Precinct 1",10,1,0,0
217096000002,"City of St. Joseph, Precinct 2",19,4,0,0
217096000003,"City of St. Joseph, Precinct 3",12,4,2,0
218450000001,"City of Watervliet, Precinct 1",0,3,0,0
210484000001,"Bainbridge Township, Precinct 1",11,6,0,0
210552000001,"Baroda Township, Precinct 1",13,0,0,0
210740000001,"Benton Charter Township, Precinct 1",13,2,0,0
210740000002,"Benton Charter Township, Precinct 2",17,5,0,0
210740000003,"Benton Charter Township, Precinct 3",12,3,1,0
210740000004,"Benton Charter Township, Precinct 4",10,1,0,0
210740000005,"Benton Charter Township, Precinct 5",12,4,0,0
210740000006,"Benton Charter Township, Precinct 6",9,2,0,0
210782000001,"Berrien Township, Precinct 1",2,0,0,0
210782000002,"Berrien Township, Precinct 2",4,1,0,0
210792000001,"Bertrand Charter Township, Precinct 1",2,0,0,0
211142000001,"Buchanan Charter Township, Precinct 1",10,3,0,0
211548000001,"Chikaming Township, Precinct 1",42,1,0,0
211734000001,"Coloma Charter Township, Precinct 1",3,0,0,0
213132000001,"Galien Township, Precinct 1",2,1,0,0
213586000001,"Hagar Township, Precinct 1",5,1,0,0
214426000001,"Lake Charter Township, Precinct 1",22,3,0,0
214760000001,"Lincoln Charter Township, Precinct 1",6,2,0,0
214760000002,"Lincoln Charter Township, Precinct 2",15,2,0,0
214760000003,"Lincoln Charter Township, Precinct 3",6,0,0,0
214760000004,"Lincoln Charter Township, Precinct 4",11,1,1,0
214760000005,"Lincoln Charter Township, Precinct 5",18,2,0,0
215723000001,"New Buffalo Township, Precinct 1",21,1,0,0
215778000001,"Niles Charter Township, Precinct 1",37,7,0,0
215778000002,"Niles Charter Township, Precinct 2",30,4,0,0
215778000003,"Niles Charter Township, Precinct 3",10,5,0,0
216118000001,"Oronoko Charter Township, Precinct 1",13,3,0,0
216118000002,"Oronoko Charter Township, Precinct 2",3,2,0,0
216448000001,"Pipestone Township, Precinct 1",1,0,0,0
217010000001,"Royalton Township, Precinct 1",20,0,0,0
217444000001,"Sodus Township, Precinct 1",3,1,0,0
217098000001,"St. Joseph Charter Township, Precinct 1",14,4,1,0
217098000002,"St. Joseph Charter Township, Precinct 2",17,0,0,0
217098000003,"St. Joseph Charter Township, Precinct 3",10,0,0,0
217098000004,"St. Joseph Charter Township, Precinct 4",15,1,0,0
217974000001,"Three Oaks Township, Precinct 1",5,0,0,0
218452000001,"Watervliet Charter Township, Precinct 1",1,0,0,0
218512000001,"Weesaw Township, Precinct 1",13,2,0,0
